Comment,Designator,Footprint,LCSC,Quantity,Value,Populate
MCU,U1,LQFP-48,C529987,1,STM32G431CBU6,yes
IMU,U2,LGA-14,C530841,1,BMI270,yes
ALS,U3,QFN-6,C2844159,1,VEML7700,yes
LDO 3V3,U4,SOT-23-5,C15127,1,AMS1117-3.3,yes
0.1uF,C1-C12,0603,C14663,12,100nF,yes
10uF,C13-C16,0603,C19702,4,10uF,yes
10k,R1-R8,0603,C25804,8,10k,yes
OSB switch,S1-S20,6x6mm THT,C318884,20,6x6x7mm,yes
Rocker,SW21-SW24,SS-12D10,,4,momentary rocker,yes
Header 2x10,J1,2.54 2x10,C124378,1,B2B,yes
Header 1x4,J2,2.54 1x4,C124373,1,SWD,yes
